iso,Country,area_ha,population,Fa_tf_mean,Fa_tf_std,Fb_mean,Fb_std,Fc_mean,Fc_std,Fab_tf_mean,Fab_tf_std,Fabc_tf_mean,Fabc_tf_std
SYR,Syria,18593959.979436893,21049429.0,-1.0749726267080695e-12,1.8189526081266884e-12,-7.345421532102074e-12,2.599723883645535e-12,4.069577199471772e-10,9.329499890799175e-26,-8.420394184049523e-12,2.9848918643994475e-12,3.985373257631277e-10,2.9848918643994426e-12
TCA,Turks and Caicos Islands,44521.305517091256,44386.0,,,,,2.086461870656341e-09,9.132162904027691e-25,,,,
TCD,Chad,126628277.38238265,17224679.0,-8.393333795346e-12,8.725343365949615e-12,5.133020615428669e-11,2.9261578287495615e-11,4.387622031662403e-12,8.562085774976717e-28,4.293687313266993e-11,3.1881748182301914e-11,4.732449516433233e-11,3.1881748182301914e-11
TGO,Togo,5686339.046192759,8669720.0,-8.474687247547291e-11,1.17130149044831e-10,5.84508018779739e-11,7.489875574354956e-11,1.0375716617306325e-10,3.8133574648927176e-26,-2.6296067933816834e-11,1.5638392185017377e-10,7.74610982392464e-11,1.5638392185017377e-10
THA,Thailand,51445347.054631494,71641484.0,-2.937827979651922e-10,1.049028203516443e-10,1.8384892202118996e-10,5.889958797488581e-11,1.462144690807469e-09,5.395157619629695e-25,-1.0993387793689385e-10,8.998360765653813e-11,1.3522108128705733e-09,8.998360765653813e-11
TJK,Tajikistan,14223873.053983686,9749310.0,0.0,0.0,3.796002846417271e-11,2.524939344236585e-11,1.3411146739157954e-10,3.048964704256417e-26,3.796002846417271e-11,2.5262027615506873e-11,1.7207149585575226e-10,2.5262027615506873e-11
TKM,Turkmenistan,47084911.45086644,6949912.0,0.0,0.0,1.143564956178954e-11,2.0706202167678907e-11,3.5636753626947363e-10,7.368489915445664e-26,1.143564956178954e-11,2.0716563040063876e-11,3.6780318583126315e-10,2.0716563040063876e-11
TLS,East Timor,1508216.552440795,1326053.0,-7.887015283547586e-11,3.2388363541658944e-10,3.891822358334988e-10,2.1831055708475592e-10,9.318241069617013e-11,1.7971593182870612e-26,3.1031208067209696e-10,3.2211478669298767e-10,4.034944913683334e-10,3.2211478669298767e-10
TON,Tonga,60310.89981540457,105704.0,,,1.6687134549150639e-10,1.0612651909030485e-10,6.615521081937935e-10,0.0,,,,
TTO,Trinidad and Tobago,512291.7592474434,1366725.0,-5.386184630518767e-10,6.68596232161057e-10,-1.223078819226833e-10,9.732911921100808e-11,2.1499180224396445e-08,0.0,-6.609263593513284e-10,6.845432573544763e-10,2.0838253865044923e-08,6.845432573544763e-10
TUN,Tunisia,15661301.458754636,11974057.0,0.0,0.0,5.262616086987313e-12,1.1453256662129501e-11,5.194889749451802e-10,1.107649629595183e-25,5.262616086987313e-12,1.1458987589009132e-11,5.247515910321674e-10,1.1458987589009132e-11
