flux,sink_iso,sink_country,target_iso,target_country,forest_ha,flow_per_ha_mean,flow_per_ha_q17,flow_per_ha_q83
Fab_tf,ZMB,Zambia,BWA,Botswana,44814030.0,0.08996223814566155,-0.023657344072876438,0.22033606664506314
Fab_tf,ZMB,Zambia,CAF,Central African Republic,44814030.0,0.07445634207725589,-0.016433810299808966,0.1778208694213237
Fab_tf,ZMB,Zambia,CHN,China,44814030.0,12.40327422590238,-5.38752203935139,31.280667766813316
Fab_tf,ZMB,Zambia,CIV,Ivory Coast,44814030.0,0.8413868856406964,-0.1828611794016098,1.9751801262790587
Fab_tf,ZMB,Zambia,CMR,Cameroon,44814030.0,0.5788197716178249,-0.12334207679526728,1.3749481726377142
Fab_tf,ZMB,Zambia,COD,Democratic Republic of the Congo,44814030.0,1.6754139599699867,-0.3677181093805376,3.9586738736822715
Fab_tf,ZMB,Zambia,COG,Republic of the Congo,44814030.0,0.2160924442549209,-0.047820494277376384,0.4958140156736469
Fab_tf,ZMB,Zambia,COL,Colombia,44814030.0,1.2610852022228392,-0.2726880337306913,2.9618675413150113
Fab_tf,ZMB,Zambia,COM,Comoros,44814030.0,0.012265792806815072,-0.0025799123340785888,0.029064386853935656
Fab_tf,ZMB,Zambia,CPV,Cabo Verde,44814030.0,0.004654277824237231,-0.0012910970000011553,0.011716489608438291
Fab_tf,ZMB,Zambia,CRI,Costa Rica,44814030.0,0.1429514861550073,-0.03230651145162543,0.33967285204685504
Fab_tf,ZMB,Zambia,CUB,Cuba,44814030.0,0.12624169258158438,-0.02594329701732617,0.29731485702962657
Fab_tf,ZMB,Zambia,CYP,Cyprus,44814030.0,0.025132530949061278,-0.005391647397556718,0.06031805608729045
Fab_tf,ZMB,Zambia,DJI,Djibouti,44814030.0,0.028493699484385487,-0.007359106755676464,0.07169576363210223
Fab_tf,ZMB,Zambia,DOM,Dominican Republic,44814030.0,0.2989544046511663,-0.05834096672631181,0.729521504105523
Fab_tf,ZMB,Zambia,DZA,Algeria,44814030.0,0.5721099728996573,-0.14254695557302968,1.38338434136554
Fab_tf,ZMB,Zambia,ECU,Ecuador,44814030.0,0.2974984757534271,-0.07145511259887145,0.6977166341794944
Fab_tf,ZMB,Zambia,EGY,Egypt,44814030.0,3.084532449009149,-0.6442208306582524,7.355471290244812
Fab_tf,ZMB,Zambia,ERI,Eritrea,44814030.0,0.052793974787105485,-0.011359978429423767,0.12571130112798093
Fab_tf,ZMB,Zambia,ESP,Spain,44814030.0,0.613323458524765,-0.25507105749826503,1.6133373413224985
Fab_tf,ZMB,Zambia,ETH,Ethiopia,44814030.0,1.5429713060102985,-0.368990167685817,3.5685983650371247
Fab_tf,ZMB,Zambia,FJI,Fiji,44814030.0,0.009482211746994769,-0.002359198124166695,0.022445319590297823
Fab_tf,ZMB,Zambia,GAB,Gabon,44814030.0,0.08064674083598826,-0.01703811947414352,0.1905050009116228
Fab_tf,ZMB,Zambia,GHA,Ghana,44814030.0,0.8995223547232037,-0.19062661318191276,2.1080175492787467
Fab_tf,ZMB,Zambia,GIN,Guinea,44814030.0,0.43471666492275474,-0.09324298157333008,1.0231120790010493
